DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1969-0050-MDG,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Dany,MDG,Madagascar,Sub-Saharan Africa,Africa,Nosy Varika,,,Yes,No,No,,,Kph,,,,1969,2,5,1969,2,5,81,40,40000,3000,43040,,,,,5000,41531,12.03909708,,2003-07-01,2023-09-25
1985-0124-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Dot (Saling),PHL,Philippines,South-eastern Asia,Asia,"Aurora, Nueva Ecija, Tarlac, Bur Lacan provinces (Central Luzon)",,,No,No,No,,240,Kph,,,,1985,10,15,1985,10,15,81,24,1183602,,1183626,,,,,62373,176683,35.30228249,,2003-07-01,2023-09-25
2017-0075-MDG,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Enawo',MDG,Madagascar,Sub-Saharan Africa,Africa,"Antalaha district (Sava province), Analanjirofo, Alaotra Mangoro, Atsinanana, Analamanga, Vakinankaratra, Bongolava, Itasy, Ihorombe, Amoron I Mania, Haute Matsiatra, Vatovavy Fitovinany provinces",,Flood,Yes,No,Yes,,300,Kph,,,,2017,3,7,2017,3,10,81,253,434000,,434253,,,,,20000,24861,80.44577926,"[{""adm1_code"":41750,""adm1_name"":""Alaotra Mangoro""},{""adm1_code"":41751,""adm1_name"":""Amoron I Mania""},{""adm1_code"":41752,""adm1_name"":""Analamanga""},{""adm1_code"":41753,""adm1_name"":""Analanjirofo""},{""adm1_code"":41758,""adm1_name"":""Atsinanana""},{""adm1_code"":41761,""adm1_name"":""Bongolava""},{""adm1_code"":41763,""adm1_name"":""Haute Matsiatra""},{""adm1_code"":41764,""adm1_name"":""Ihorombe""},{""adm1_code"":41765,""adm1_name"":""Itasy""},{""adm1_code"":41768,""adm1_name"":""Sava""},{""adm1_code"":41770,""adm1_name"":""Vakinankaratra""},{""adm1_code"":41771,""adm1_name"":""Vatovavy Fitovinany""}]",2017-03-16,2023-09-25
1925-0004-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Bezwada, Masulipatam",,,No,No,No,,,Kph,,,,1925,5,10,1925,5,10,80,,,,,,,,,,,5.742435897,,2003-07-01,2023-09-25
1970-0080-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Yoling,PHL,Philippines,South-eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1970,11,17,1970,11,17,80,248,17044,,17292,,,,,12785,100338,12.74196873,,2003-07-01,2023-09-25
1972-0063-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Madras City,,,No,No,No,,,Kph,,,,1972,12,1,1972,12,1,80,,30000,,30000,,,,,,,13.72380635,,2003-07-01,2023-09-25
1982-0090-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Bess,JPN,Japan,Eastern Asia,Asia,Honshu,,,No,No,No,,,Kph,,,,1982,8,2,1982,8,2,80,150,3000,,3150,,,,,137000,432582,31.67031875,,2003-07-01,2023-09-25
1983-0452-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Georgia (N°6),VNM,Viet Nam,South-eastern Asia,Asia,"Ha Nam Ninh, Ha Son Binh, Thai Binh, Nai Hung, Thanh Hoa, Ha Bac, Hanoi, Vinh Phu, Nghe Tinh provinces",,,No,No,No,,,Kph,,,,1983,10,5,1983,10,5,80,184,,336360,336544,,,,,,,32.68770482,,2003-07-01,2023-09-25
2001-0522-TWN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Nari,TWN,Taiwan (Province of China),Eastern Asia,Asia,"Taipei, Keelung, Chiayi, Miaoli areas (Taiwan Sheng province)",,"Flood|Slide (land, mud, snow, rock)",Yes,No,No,,,Kph,,,,2001,9,16,2001,9,20,80,200,650000,,650200,,,500000,860415,800000,1376664,58.11147437,"[{""adm1_code"":925,""adm1_name"":""Taiwan Sheng""}]",2004-10-29,2023-09-25
2007-0095-MDG,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2007-000035,Indlala,MDG,Madagascar,Sub-Saharan Africa,Africa,"Diana, Sava, Sofia, Analanjirofo provinces",,"Flood|Slide (land, mud, snow, rock)",Yes,Yes,No,18703,230,Kph,-14.84,49.94,,2007,3,15,2007,3,17,80,16,203182,12000,215198,,,,,240000,352694,68.04767383,"[{""adm1_code"":41753,""adm1_name"":""Analanjirofo""},{""adm1_code"":41762,""adm1_name"":""Diana""},{""adm1_code"":41768,""adm1_name"":""Sava""},{""adm1_code"":41769,""adm1_name"":""Sofia""}]",2008-08-04,2024-10-01
1956-0052-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,PHL,Philippines,South-eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1956,12,,1956,12,,79,,,,,,,,,,,8.921294773,,2003-07-01,2023-09-25
1963-0079-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,,,,No,No,No,,,Kph,,,,1963,10,,1963,10,,79,,,,,,,,,,,10.05081019,,2003-07-01,2023-09-25
2014-0020-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical Depression Agaton ( (Lingling),PHL,Philippines,South-eastern Asia,Asia,"North Cotabato, South Cotabato districts (Region XII (Soccsksargen) province), Autonomous region in Muslim Mindanao (ARMM), Region X (Northern Mindanao), Region XI (Davao Region), Region XIII (Caraga) provinces",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,2014,1,19,2014,1,20,79,86,1148621,,1148707,,,,,12591,16206,77.69440613,"[{""adm1_code"":2368,""adm1_name"":""Region XIII (Caraga)""},{""adm1_code"":67156,""adm1_name"":""Autonomous region in Muslim Mindanao (ARMM)""},{""adm1_code"":67160,""adm1_name"":""Region X (Northern Mindanao)""},{""adm1_code"":67161,""adm1_name"":""Region XI (Davao Region)""},{""adm2_code"":24271,""adm2_name"":""South Cotabato""},{""adm2_code"":24273,""adm2_name"":""North Cotabato""}]",2014-02-07,2023-09-25
2020-0474-PAN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2020-000218,Hurricane 'Eta',PAN,Panama,Latin America and the Caribbean,Americas,"Bocas del Toro, Chiriquí, Coclé, Colón, Comarca Ngäbe Buglé, Herrera, Veraguas",,,No,No,No,,,Kph,,,,2020,11,3,2020,11,4,79,,5000,,5000,,,,,11000,12950,84.93919813,"[{""adm1_code"":2282,""adm1_name"":""Coclé""},{""adm1_code"":2283,""adm1_name"":""Colón""},{""adm1_code"":2286,""adm1_name"":""Herrera""},{""adm1_code"":93668,""adm1_name"":""Bocas del Toro""},{""adm1_code"":93669,""adm1_name"":""Chiriquí""},{""adm1_code"":93672,""adm1_name"":""Ngöbe Buglé""},{""adm1_code"":93673,""adm1_name"":""Veraguas""}]",2020-11-05,2023-09-25
1985-0121-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Andhra Pradesh,,,No,No,No,,,Kph,,,,1985,10,10,1985,10,10,78,,5000,,5000,,,,,,,35.30228249,,2003-07-01,2023-09-25
2001-0584-IND,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Andhra Pradesh province,,,No,No,No,,,Kph,,,,2001,10,,2001,10,,78,,25000,2000,27000,,,,,,,58.11147437,"[{""adm1_code"":1485,""adm1_name"":""Andhra Pradesh""}]",2003-07-01,2023-09-25
2005-0048-MDG,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Ernest,MDG,Madagascar,Sub-Saharan Africa,Africa,"Tulear town (Toliary-II district, Atsimo Andrefana province) Tsihombe, Ambovombe districts (Androy province)",,,No,No,No,,100,Kph,,,,2005,1,22,2005,1,23,78,8,,7977,7985,,,,,,,64.09274026,"[{""adm2_code"":154531,""adm2_name"":""Ambovombe-Androy""},{""adm2_code"":154534,""adm2_name"":""Tsihombe""},{""adm2_code"":154546,""adm2_name"":""Toliary-II""}]",2005-02-04,2023-09-25
1967-0051-MEX,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,"Katrina, Beulah, Fern",MEX,Mexico,Latin America and the Caribbean,Americas,,,,Yes,No,No,,,Kph,,,,1967,8,,1967,8,,77,,271000,,271000,,,,,184000,1680692,10.94786822,,2003-07-01,2023-09-25
2009-0165-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,"Typhoon ""Emong"" (Chanom)",PHL,Philippines,South-eastern Asia,Asia,"Aringay, Agoo, Bacnotan, Bagulin, Bauang, Burgos, Caba, Naguillian Pugo, Rosario, San Gabriel, San Juan, Sto Thomas, Tubao, San Fernando areas (La Union district, Region I (Ilocos region) province), Anda, Agno, Bani, Bolinao, Dasol, Infanta, Lingayan, Mabini, Sta Barbara, Sual, Alaminos city, Dagupan areas (Pangasinan district, Region I (Ilocos region) province), Ambaguio, Bagabag, Bambang, Bayombong, Dupax del Sur, Solano, Sta Fe areas (Nueva Vizcaya district, Region II (Cagayan Valley) province), Aurora, Cabaruan, Cordon, Delfin Albano, Ilagan, Luna, Quirino, Ramon, Reina Mercedes, Cauayan city, Santiago areas (Isabela district, Region II (Cagayan Valley) province), Cabarroguis, Saguiday areas (Quirino district, Region II (Cagayan Valley) province), Rizal area (Cagayan district, Region II (Cagayan Valley) province), Sta Cruz, Olongapo areas (Zambales district, Region III (Central Luzon) province), Guagua area (Pampanga district, Region III (Central Luzon) province), Kiangan, Asipulo, Lamut, Lagawe, Hingyon, Hungduan, Tinoc, Aguinaldo, Alfonso Lista areas (Ifugao district, Cordillera Administrative region (CAR) province), Pinukpuk, Lubuagan areas (Kalinga district, Cordillera Administrative region (CAR) province), Baguio city (Benguet district, Cordillera Administrative region (CAR) province)",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,139,Kph,,,,2009,5,7,2009,5,10,77,53,400954,,401007,,,,,30342,43094,70.40886176,"[{""adm2_code"":24206,""adm2_name"":""Benguet""},{""adm2_code"":24207,""adm2_name"":""Ifugao""},{""adm2_code"":24208,""adm2_name"":""Kalinga""},{""adm2_code"":24213,""adm2_name"":""La Union""},{""adm2_code"":24214,""adm2_name"":""Pangasinan""},{""adm2_code"":24216,""adm2_name"":""Cagayan""},{""adm2_code"":24217,""adm2_name"":""Isabela""},{""adm2_code"":24218,""adm2_name"":""Nueva Vizcaya""},{""adm2_code"":24219,""adm2_name"":""Quirino""},{""adm2_code"":24223,""adm2_name"":""Pampanga""},{""adm2_code"":24225,""adm2_name"":""Zambales""}]",2010-03-05,2023-09-25
2012-0056-MDG,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2012-000036,"Tropical depression ""Irina""",MDG,Madagascar,Sub-Saharan Africa,Africa,"Vatovavy Fitovinany, Sava, Diana, Atsimo Atsinanana, Anosy, Analanjirofo, Analamanga, Alaotra Mangoro provinces",,"Flood|Slide (land, mud, snow, rock)",Yes,No,No,,,Kph,,,,2012,2,26,2012,2,26,77,15,85000,,85015,,,,,,,75.3503857,"[{""adm1_code"":41750,""adm1_name"":""Alaotra Mangoro""},{""adm1_code"":41752,""adm1_name"":""Analamanga""},{""adm1_code"":41753,""adm1_name"":""Analanjirofo""},{""adm1_code"":41755,""adm1_name"":""Anosy""},{""adm1_code"":41757,""adm1_name"":""Atsimo Atsinanana""},{""adm1_code"":41762,""adm1_name"":""Diana""},{""adm1_code"":41768,""adm1_name"":""Sava""},{""adm1_code"":41771,""adm1_name"":""Vatovavy Fitovinany""}]",2012-06-13,2023-09-25
1983-0061-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,West Bengal,,,No,No,No,,,Kph,,,,1983,4,,1983,4,,76,1500,6000,,7500,,,,,,,32.68770482,,2003-07-01,2023-09-25
2007-0164-OMN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2007-000075,Cyclone 'Gonu',OMN,Oman,Western Asia,Asia,Muscat province,,"Flood|Slide (land, mud, snow, rock)",Yes,No,Yes,731,260,Kph,,,,2007,6,6,2007,6,10,76,,20000,,20000,,,650000,955213,3900000,5731276,68.04767383,"[{""adm1_code"":2270,""adm1_name"":""Muscat""}]",2008-08-04,2023-09-25
1969-0153-TWN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,TWN,Taiwan (Province of China),Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1969,10,,1969,10,,75,,,,,,,,,,,12.03909708,,2003-07-01,2023-09-25
1998-0309-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Zeb (Iliang),PHL,Philippines,South-eastern Asia,Asia,Town Of Tabuk Level 2 = Kalinga-Apayao (from GENAME),,,No,No,No,,280,Kph,,,,1998,10,13,1998,10,18,75,63,1344556,,1344619,,,,,50000,93462,53.49768079,,2007-05-06,2023-09-25
2000-0397-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Kai-Tak (Edeng),PHL,Philippines,South-eastern Asia,Asia,"Caloocan, Manioma, Quezon cities (Metropolitan Manila district, National Capital region (NCR) province), Mindoro Oriental district (Region IV (Southern Tagalog) province), Cavite, Rizal districts (Region IV-A (Calabarzon) province), Iloilo, Negros Occidental districts (Region VI (Western Visayas) province), Region I (Ilocos region), Region III (Central Luzon) provinces",,,No,No,No,29,200,Kph,,,,2000,7,7,2000,7,7,75,11,1483310,,1483321,,,,,25763,45587,56.51429056,"[{""adm1_code"":2356,""adm1_name"":""Region I (Ilocos region)""},{""adm1_code"":67165,""adm1_name"":""Region III (Central Luzon)""},{""adm2_code"":24210,""adm2_name"":""Metropolitan Manila""},{""adm2_code"":24250,""adm2_name"":""Iloilo""},{""adm2_code"":24251,""adm2_name"":""Negros Occidental""},{""adm2_code"":24228,""adm2_name"":""Cavite""},{""adm2_code"":24235,""adm2_name"":""Rizal""},{""adm2_code"":24232,""adm2_name"":""Mindoro Oriental""}]",2008-01-03,2023-09-25
2005-0540-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Damrey,VNM,Viet Nam,South-eastern Asia,Asia,"Yen Bai, Tram Tau, Nghia Lo districts (Yen Bai province), Nghe An, Phu Tho, Hoa Binh, Lao Cai, Thanh Hoa, Nam Dinh, Quang Ninh, Quang Nam, Da Nang City provinces",,"Flood|Slide (land, mud, snow, rock)",Yes,No,No,717,133,Kph,,,,2005,9,27,2005,9,30,75,28,337632,,337660,,,,,219250,342082,64.09274026,"[{""adm1_code"":3340,""adm1_name"":""Da Nang City""},{""adm1_code"":3353,""adm1_name"":""Hoa Binh""},{""adm1_code"":3364,""adm1_name"":""Nam Dinh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3369,""adm1_name"":""Phu Tho""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3375,""adm1_name"":""Quang Ninh""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""},{""adm1_code"":73939,""adm1_name"":""Lao Cai""},{""adm2_code"":32670,""adm2_name"":""Tram Tau""},{""adm2_code"":74243,""adm2_name"":""Nghia Lo Township""},{""adm2_code"":74244,""adm2_name"":""Yen Bai City""}]",2007-07-20,2023-09-25
2010-0484-CHN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Fanapi,CHN,China,Eastern Asia,Asia,"Fujian Sheng, Guangdong Sheng provinces",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,2010,9,20,2010,9,20,75,,1000000,,1000000,,,,,298285,416811,71.56359558,"[{""adm1_code"":901,""adm1_name"":""Fujian Sheng""},{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""}]",2010-10-06,2023-09-25
2012-0410-HTI,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2012-000180,Hurricane Sandy,HTI,Haiti,Latin America and the Caribbean,Americas,"Ouest, Sud, Grande Anse, Nippes, Sud Est, Artibonite provinces",,"Flood|Slide (land, mud, snow, rock)",Yes,No,Yes,,,Kph,,,,2012,10,24,2012,10,26,75,20,168500,33330,201850,,,,,254000,337092,75.3503857,"[{""adm1_code"":1409,""adm1_name"":""Artibonite""},{""adm1_code"":1415,""adm1_name"":""Ouest""},{""adm1_code"":1416,""adm1_name"":""Sud""},{""adm1_code"":1417,""adm1_name"":""Sud Est""},{""adm1_code"":72911,""adm1_name"":""Grande Anse""},{""adm1_code"":72912,""adm1_name"":""Nippes""}]",2014-07-29,2023-09-25
1966-0074-DOM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Inez,DOM,Dominican Republic,Latin America and the Caribbean,Americas,"South East coast, Barhona",,,Yes,No,No,,,Kph,,,,1966,9,29,1966,9,29,74,442,7000,5500,12942,,,,,5000,46937,10.65249707,,2003-07-01,2023-09-25
1988-0519-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,04B,IND,India,Southern Asia,Asia,West Bengal,,,No,No,No,,,Kph,,,,1988,11,29,1988,11,29,74,,1900000,,1900000,,,,,13000,33496,38.81118011,,2003-07-01,2023-09-25
1994-0138-CHN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Russ,CHN,China,Eastern Asia,Asia,"Guangdong, Hainan, Guangxi",,,No,No,No,,74,Kph,,,,1994,6,8,1994,6,9,74,684,,440000,440684,,,,,700,1439,48.6459381,,2006-07-13,2023-09-25
2008-0384-HTI,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Ike,HTI,Haiti,Latin America and the Caribbean,Americas,Gonaives district (Artibonite province),,Flood,No,No,No,,,Kph,18.46,-71.69,,2008,9,6,2008,9,8,74,50,125000,,125050,,,,,,,70.66008903,"[{""adm2_code"":17168,""adm2_name"":""Gonaives""}]",2008-09-11,2023-09-25
2013-0419-CHN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2013-000122,Typhoon Wutip,CHN,China,Eastern Asia,Asia,"Hainan Sheng, Guangdong Sheng provinces",,,No,No,No,,,Kph,,,,2013,9,30,2013,9,30,74,,,,,,,,,,,76.45414599,"[{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":906,""adm1_name"":""Hainan Sheng""}]",2013-11-25,2023-09-25
1940-0013-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,PHL,Philippines,South-eastern Asia,Asia,"Cantanduanes, Bondoc",,,No,No,No,,,Kph,,,,1940,12,3,1940,12,3,73,,,,,,,,,,,4.593948718,,2003-07-01,2023-09-25
1993-0231-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Lola,VNM,Viet Nam,South-eastern Asia,Asia,"Ninh Hai, Cam Ranh districts (Khanh Hoa province)",,,No,No,No,,130,Kph,,,,1993,12,8,1993,12,8,73,20,20520,4695,25235,,,,,50000,105464,47.40975397,,2003-07-01,2023-09-25
2018-0008-MDG,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2018-000001,Cyclone 'Ava',MDG,Madagascar,Sub-Saharan Africa,Africa,"Antananarivo Atsimondrano, Antananarivo Avaradrano, Antananarivo Renivohitra (Analamanga); Fenerive Eet, Manama, Maroantsetra, Sainte Marie, Soanierana Ivongo (Analanjirofo), Befotaka, Faraganga, Vaingaindrano (Astimo Atsinanana); Antanamabo Manampotsy, Brickaville, Mahanoro, Toasmasina I et II, Vatomandry (Atsinanana); Mahanja (Boeny); Miandrivazo (Menabe); Ambohimahaso (Haute Matsiatra); Antalaha, Sambava, Andapa, Vohemar (SAVA); Mampikony (Sofia); Ifanadiana, Manakara, Mananjary, Nosy Varika, Vohipeno (Vatovavy Fitovanmay)",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,165,Kph,,,,2018,1,5,2018,1,8,73,,161318,,161318,,,,,,,82.41066796,,2018-01-15,2023-09-25
1955-0047-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1955,10,,1955,10,,72,,,,,,,,,,,8.787284074,,2003-07-01,2023-09-25
1991-0385-KOR,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Gladys,KOR,Republic of Korea,Eastern Asia,Asia,Southern provinces,,,No,No,No,,90,Kph,,,,1991,8,23,1991,8,23,72,,20750,,20750,,,50000,111865,310000,693563,44.69672184,,2003-07-01,2023-09-25
2014-0497-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,DFO:4217,Tropical storm 'Jangmi' (Seniang),PHL,Philippines,South-eastern Asia,Asia,"Palawan district (Region IV (Southern Tagalog) province), Antique, Capiz, Negros Occidental districts (Region VI (Western Visayas) province), Bohol, Cebu, Siquijor districts (Region VII (Central Visayas) province), Leyte, Samar, Southern Leyte districts (Region VIII (Eastern Visayas) province), Zamboanga Del Sur district (Region IX (Zamboanga Peninsula) province), Bukidnon, Camiguin, Lanao del Norte, Misamis Oriental districts (Region X (Northern Mindanao) province), Compostela, Davao del Norte, Davao Oriental districts (Region XI (Davao Region) province), Region XIII (Caraga) province",,"Slide (land, mud, snow, rock)",No,No,No,,210,Kph,,,,2014,12,28,2014,12,31,72,,578549,,578549,,,,,17688,22766,77.69440613,"[{""adm1_code"":2368,""adm1_name"":""Region XIII (Caraga)""},{""adm2_code"":24247,""adm2_name"":""Antique""},{""adm2_code"":24248,""adm2_name"":""Capiz""},{""adm2_code"":24251,""adm2_name"":""Negros Occidental""},{""adm2_code"":24252,""adm2_name"":""Bohol""},{""adm2_code"":24253,""adm2_name"":""Cebu""},{""adm2_code"":24255,""adm2_name"":""Siquijor""},{""adm2_code"":24258,""adm2_name"":""Leyte""},{""adm2_code"":24260,""adm2_name"":""Southern Leyte""},{""adm2_code"":24261,""adm2_name"":""Samar""},{""adm2_code"":67164,""adm2_name"":""Zamboanga Del Sur""},{""adm2_code"":24262,""adm2_name"":""Bukidnon""},{""adm2_code"":24263,""adm2_name"":""Camiguin""},{""adm2_code"":24265,""adm2_name"":""Misamis Oriental""},{""adm2_code"":24272,""adm2_name"":""Lanao Del Norte""},{""adm2_code"":24266,""adm2_name"":""Compostela""},{""adm2_code"":24267,""adm2_name"":""Davao del Norte""},{""adm2_code"":24269,""adm2_name"":""Davao Oriental""},{""adm2_code"":24233,""adm2_name"":""Palawan""}]",2015-01-05,2023-09-25
2019-0387-CHN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone Lekima (Hanna),CHN,China,Eastern Asia,Asia,Zhejiang and Shandong provinces,,"Flood|Slide (land, mud, snow, rock)",No,No,No,,175,Kph,,,,2019,8,10,2019,8,12,72,,108000,,108000,,,,,10000000,11918359,83.90417006,"[{""adm1_code"":921,""adm1_name"":""Shandong Sheng""},{""adm1_code"":930,""adm1_name"":""Zhejiang Sheng""}]",2019-08-16,2023-09-25
1979-0095-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tip,JPN,Japan,Eastern Asia,Asia,Northern,,,No,No,No,,,Kph,,,,1979,10,20,1979,10,20,71,,,,,,,,,,,23.81837925,,2011-11-14,2023-09-25
1982-0060-NIC,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Alleta,NIC,Nicaragua,Latin America and the Caribbean,Americas,Pacific coast,,,Yes,No,No,,,Kph,,,,1982,5,23,1982,5,23,71,,52000,,52000,,,,,356000,1124081,31.67031875,,2003-07-01,2023-09-25
2006-0517-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Xangsane (Milenyo),VNM,Viet Nam,South-eastern Asia,Asia,"Ha Tinh, Thua Thien - Hue, Da Nang City, Quang Nam, Quang Ngai provinces",,,No,No,No,,148,Kph,16.68,107.21,,2006,9,27,2006,10,6,71,525,1368720,98680,1467925,,,,,624000,943163,66.16033056,"[{""adm1_code"":3340,""adm1_name"":""Da Nang City""},{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""}]",2007-01-07,2023-09-25
2014-0227-CHN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2014-000092,Typhoon Rammasun (Glenda),CHN,China,Eastern Asia,Asia,"Hainan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Yunnan Sheng provinces",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,200,Kph,,,,2014,7,18,2014,7,19,71,99,9960000,,9960099,,,,,4232973,5448234,77.69440613,"[{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""},{""adm1_code"":906,""adm1_name"":""Hainan Sheng""},{""adm1_code"":929,""adm1_name"":""Yunnan Sheng""}]",2014-07-22,2023-09-25
1970-0017-MDG,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Jane,MDG,Madagascar,Sub-Saharan Africa,Africa,"Central, South",,,Yes,No,No,,,Kph,,,,1970,2,23,1970,2,23,70,,10000,,10000,,,,,11400,89468,12.74196873,,2003-07-01,2023-09-25
1978-0145-MDG,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Angele,MDG,Madagascar,Sub-Saharan Africa,Africa,Tulear province,,,No,No,No,,,Kph,,,,1978,12,28,1978,12,28,70,,18000,,18000,,,,,29000,135458,21.40891699,,2003-07-01,2023-09-25
1982-0093-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Faye,PHL,Philippines,South-eastern Asia,Asia,West,,,No,No,No,,,Kph,,,,1982,8,25,1982,8,25,70,67,25900,,25967,,,,,6500,20524,31.67031875,,2003-07-01,2023-09-25
1982-0112-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Nancy (N°7),VNM,Viet Nam,South-eastern Asia,Asia,"Nghe Tinh, Thanh Hoa Provinces",,,No,No,No,,,Kph,,,,1982,10,18,1982,10,18,70,290,1300000,,1300290,,,,,,,31.67031875,,2003-07-01,2023-09-25
